Date,kWh,Building,Hour
2025-09-06 22:32:24.291278,65.05,Admin_Building,22
2025-09-07 22:32:24.291278,66.99,Admin_Building,22
2025-09-08 22:32:24.291278,83.65,Admin_Building,22
2025-09-09 22:32:24.291278,85.48,Admin_Building,22
2025-09-10 22:32:24.291278,95.69,Admin_Building,22
2025-09-11 22:32:24.291278,84.6,Admin_Building,22
2025-09-12 22:32:24.291278,92.1,Admin_Building,22
2025-09-13 22:32:24.291278,67.53,Admin_Building,22
2025-09-14 22:32:24.291278,54.53,Admin_Building,22
2025-09-15 22:32:24.291278,84.36,Admin_Building,22
2025-09-16 22:32:24.291278,99.5,Admin_Building,22
2025-09-17 22:32:24.291278,98.7,Admin_Building,22
2025-09-18 22:32:24.291278,89.23,Admin_Building,22
2025-09-19 22:32:24.291278,103.2,Admin_Building,22
2025-09-20 22:32:24.291278,63.72,Admin_Building,22
2025-09-21 22:32:24.291278,64.61,Admin_Building,22
2025-09-22 22:32:24.291278,104.49,Admin_Building,22
2025-09-23 22:32:24.291278,94.98,Admin_Building,22
2025-09-24 22:32:24.291278,90.09,Admin_Building,22
2025-09-25 22:32:24.291278,117.25,Admin_Building,22
2025-09-26 22:32:24.291278,111.29,Admin_Building,22
2025-09-27 22:32:24.291278,60.86,Admin_Building,22
2025-09-28 22:32:24.291278,66.68,Admin_Building,22
2025-09-29 22:32:24.291278,106.3,Admin_Building,22
2025-09-30 22:32:24.291278,93.26,Admin_Building,22
2025-10-01 22:32:24.291278,100.39,Admin_Building,22
2025-10-02 22:32:24.291278,103.65,Admin_Building,22
2025-10-03 22:32:24.291278,114.71,Admin_Building,22
2025-10-04 22:32:24.291278,65.09,Admin_Building,22
2025-10-05 22:32:24.291278,50.82,Admin_Building,22
2025-10-06 22:32:24.291278,98.7,Admin_Building,22
2025-10-07 22:32:24.291278,106.72,Admin_Building,22
2025-10-08 22:32:24.291278,109.29,Admin_Building,22
2025-10-09 22:32:24.291278,100.22,Admin_Building,22
2025-10-10 22:32:24.291278,93.54,Admin_Building,22
2025-10-11 22:32:24.291278,52.76,Admin_Building,22
2025-10-12 22:32:24.291278,66.67,Admin_Building,22
2025-10-13 22:32:24.291278,113.25,Admin_Building,22
2025-10-14 22:32:24.291278,115.49,Admin_Building,22
2025-10-15 22:32:24.291278,108.76,Admin_Building,22
2025-10-16 22:32:24.291278,113.96,Admin_Building,22
2025-10-17 22:32:24.291278,91.14,Admin_Building,22
2025-10-18 22:32:24.291278,59.95,Admin_Building,22
2025-10-19 22:32:24.291278,62.28,Admin_Building,22
2025-10-20 22:32:24.291278,98.35,Admin_Building,22
2025-10-21 22:32:24.291278,81.56,Admin_Building,22
2025-10-22 22:32:24.291278,114.84,Admin_Building,22
2025-10-23 22:32:24.291278,99.1,Admin_Building,22
2025-10-24 22:32:24.291278,97.71,Admin_Building,22
2025-10-25 22:32:24.291278,52.21,Admin_Building,22
2025-10-26 22:32:24.291278,62.71,Admin_Building,22
2025-10-27 22:32:24.291278,84.01,Admin_Building,22
2025-10-28 22:32:24.291278,84.0,Admin_Building,22
2025-10-29 22:32:24.291278,81.28,Admin_Building,22
2025-10-30 22:32:24.291278,87.88,Admin_Building,22
2025-10-31 22:32:24.291278,82.56,Admin_Building,22
2025-11-01 22:32:24.291278,63.06,Admin_Building,22
2025-11-02 22:32:24.291278,57.88,Admin_Building,22
2025-11-03 22:32:24.291278,96.19,Admin_Building,22
2025-11-04 22:32:24.291278,116.61,Admin_Building,22
2025-11-05 22:32:24.291278,81.52,Admin_Building,22
2025-11-06 22:32:24.291278,118.82,Admin_Building,22
2025-11-07 22:32:24.291278,83.62,Admin_Building,22
2025-11-08 22:32:24.291278,55.3,Admin_Building,22
2025-11-09 22:32:24.291278,59.09,Admin_Building,22
2025-11-10 22:32:24.291278,119.62,Admin_Building,22
2025-11-11 22:32:24.291278,116.04,Admin_Building,22
2025-11-12 22:32:24.291278,81.39,Admin_Building,22
2025-11-13 22:32:24.291278,114.17,Admin_Building,22
2025-11-14 22:32:24.291278,89.16,Admin_Building,22
2025-11-15 22:32:24.291278,51.39,Admin_Building,22
2025-11-16 22:32:24.291278,55.16,Admin_Building,22
2025-11-17 22:32:24.291278,116.32,Admin_Building,22
2025-11-18 22:32:24.291278,98.54,Admin_Building,22
2025-11-19 22:32:24.291278,112.98,Admin_Building,22
2025-11-20 22:32:24.291278,118.34,Admin_Building,22
2025-11-21 22:32:24.291278,84.68,Admin_Building,22
2025-11-22 22:32:24.291278,67.66,Admin_Building,22
